Hugo_Symbol	TCGA-AA-3977-01	TCGA-AA-3560-01	TCGA-AA-3543-01	TCGA-AA-3695-01	TCGA-AA-3875-01	TCGA-AA-3684-01	TCGA-AA-3531-01	TCGA-AA-3532-01	TCGA-A6-2678-01	TCGA-AA-3861-01	TCGA-A6-2677-01	TCGA-AA-3842-01	TCGA-AA-3848-01	TCGA-AA-3521-01	TCGA-AA-3544-01	TCGA-AA-3520-01	TCGA-AA-3538-01	TCGA-A6-2672-01	TCGA-AA-3856-01	TCGA-AA-3666-01	TCGA-AA-3858-01	TCGA-AA-3870-01	TCGA-AA-3679-01	TCGA-AA-3516-01	TCGA-AA-3530-01	TCGA-AA-3524-01	TCGA-AA-3681-01	TCGA-AA-3542-01	TCGA-AA-3548-01	TCGA-A6-2676-01	TCGA-AA-3525-01	TCGA-A6-2670-01	TCGA-AA-3837-01	TCGA-AA-3970-01	TCGA-AA-3522-01	TCGA-AA-3866-01	TCGA-AA-3854-01	TCGA-AA-3833-01	TCGA-AA-3685-01	TCGA-AA-3675-01	TCGA-AA-3519-01	TCGA-AA-3814-01	TCGA-AA-3852-01	TCGA-AA-3552-01	TCGA-A6-3808-01	TCGA-AA-3860-01	TCGA-AA-3850-01	TCGA-AA-3680-01	TCGA-AA-3692-01	TCGA-A6-3810-01	TCGA-AA-3529-01	TCGA-AA-3715-01	TCGA-AA-3877-01	TCGA-AA-3526-01	TCGA-AA-3976-01	TCGA-AA-3846-01	TCGA-AA-3982-01	TCGA-AA-3872-01	TCGA-AA-3941-01	TCGA-AA-3971-01	TCGA-AA-3696-01	TCGA-AA-3534-01	TCGA-AA-3939-01	TCGA-AA-3527-01	TCGA-AA-3867-01	TCGA-AA-3815-01	TCGA-AA-3553-01	TCGA-AA-3845-01	TCGA-AA-3955-01	TCGA-AA-3819-01	TCGA-AA-3518-01	TCGA-AA-3949-01	TCGA-A6-2674-01	TCGA-AA-3812-01	TCGA-AA-3869-01	TCGA-AA-3562-01	TCGA-AA-3956-01	TCGA-AA-3844-01	TCGA-AA-3818-01	TCGA-AA-3947-01	TCGA-AA-3514-01	TCGA-AA-3556-01	TCGA-AA-3831-01	TCGA-AA-3672-01	TCGA-A6-3809-01
hsa-let-7b*	6.06608919	5.52356196	6.50779464	5.5849625	5.64385619	6	6.169925	5.52356196	6.28540222	4.9068906	5.357552	5.357552	5.83289001	6.08746284	5.70043972	6.30378075	6	6.4429435	5.169925	6.857981	6.02236781	4.5849625	5.80735492	6.62935662	6.10852446	5.72792045	6.22881869	5.45943162	6.10852446	4.857981	5.20945337	6.04439412	5.95419631	5.12928302	5.39231742	5.12928302	6.33985	5.64385619	5.67242534	7	5.04439412	5.67242534	6.64385619	5.857981	5.08746284	6.32192809	4.9068906	5.4918531	5.32192809	5.93073734	5.08746284	6.42626475	6.04439412	6.39231742	5.9068906	5.04439412	5.61470984	4.169925	6.64385619	4.45943162	6.62935662	5.67242534	5.357552	5.857981	5.20945337	5.42626475	5.64385619	6.37503943	5.64385619	6.08746284	6.61470984	4.45943162	5.78135971	5.39231742	5.28540222	5.4918531	5.5849625	5.70043972	5.12928302	5.24792751	5.78135971	5.4918531	5.78135971	6.24792751	6.61470984
hsa-let-7c	7.86418614	8.40514146	7.55458885	8.77807713	8.69348696	9.15481811	7.41785251	8.49585503	8.10328781	7.43462823	9.25029842	8.51175265	8.08746284	7.91886324	7.0768156	9.27612441	8.66888498	7.84549005	8.57742883	7.62935662	8.19475685	8.14974712	7.56224242	6.87036472	7.24792751	7.54689446	6.94251451	8.13955135	8.94544384	7.48381578	5.39231742	9.60733031	9.82495874	6.64385619	7.8008999	8.45532722	5.88264305	8.5849625	8.36632221	9.09539702	6.20945337	9	8.6794801	7.60733031	10.08613623	7.39231742	8.42626475	8.17990909	8.51963625	8.91886324	7.17990909	9.29462075	8.29462075	7.45121111	8	6.89481776	8.033423	9.44708323	8.85174904	7.98299357	10.33539035	10.01959073	8.06069593	9.40514146	8.13955135	7.32192809	8.53527538	7.56985561	7.38370429	7.76155123	5.12928302	8.47573343	9.10328781	8.84235034	7.7548875	8.43045255	9.45943162	6.94251451	9.64925618	6.79441587	10.00422047	7.70735913	8.45943162	7.95419631	7.26678654
hsa-let-7f	10.67154107	10.82017896	10.57837269	10.74062404	11.34540525	10.48582931	10.87805091	11.28886607	10.94178124	10.96506276	10.55842071	10.69696753	11.0768156	10.46352437	11.033423	11.15038197	11.34040649	10.64925618	11.54737656	11.26795708	10.96144969	10.87190524	10.96866679	11.1234748	10.87267488	10.59339112	10.85330956	11.08414401	10.69522829	10.91960824	10.65553072	11.2366122	10.97799537	10.80654962	10.93516505	10.42101286	10.48482289	10.61654884	10.92332749	11.15924065	11.17804233	10.77396337	10.75238065	10.92184094	9.98299357	10.91288934	11.09737377	10.74903138	10.70735913	10.75154406	10.83368075	11.13955135	10.48884435	10.89935692	10.77807713	10.70735913	11.06944977	10.10197567	10.97513146	11.24138736	11.35920049	11.24911345	11.02928723	10.38801729	11.13635034	10.90162116	11.00211178	11.07815081	10.47370575	11.11829223	10.666224	10.86418614	10.92332749	10.64745843	11.55170826	11.04712391	10.64024494	10.98441846	10.97871046	11.20518233	10.93884446	10.82654849	10.82892983	10.85953479	10.88340699
hsa-let-7f-1*	3.32192809	1.5849625	2.32192809	3.9068906	3.45943162	2.80735492	3.32192809	3	3.45943162	1.5849625	2.32192809	3	3.80735492	2.5849625	3.9068906	2	2.80735492	2	2.32192809	4.52356196	3.80735492	1	2.5849625	2.32192809	3.169925	2.32192809	2.80735492	3.32192809	2.80735492	3.70043972	2.5849625	2.80735492	2.32192809	3	2.5849625	2.5849625	3.70043972	2.32192809	3	4	3.45943162	1	3.80735492	2.80735492	2	4.169925	2.5849625	2.32192809	1.5849625	3	2.5849625	3	2	3	2.80735492	2.80735492	3.70043972	0	3.70043972	2	3.45943162	3.5849625	2.32192809	1	2.80735492	2.80735492	2.32192809	3.169925	3	3.80735492	3.169925	1	3	2.32192809	3.9068906	2.80735492	2.5849625	3.32192809	1.5849625	2.80735492	3.169925	2	2.5849625	3.5849625	3.9068906
hsa-let-7a*	5.7548875	4.95419631	5.20945337	4.32192809	5.857981	4.52356196	4.5849625	5.39231742	5.12928302	4.7548875	4.64385619	5.52356196	5.83289001	4.45943162	5.08746284	4.64385619	5	4.70043972	4.9068906	5.20945337	5.857981	3.5849625	5.39231742	6.39231742	5.5849625	4.9068906	5.24792751	5.32192809	4.45943162	4.5849625	4.169925	4.9068906	4.64385619	5.52356196	4.52356196	4.45943162	5.28540222	4.70043972	5	5.45943162	4.52356196	4.64385619	5.45943162	5.04439412	4.39231742	5.61470984	5.20945337	4.24792751	4.39231742	4.45943162	4.70043972	5.55458885	5.08746284	5.52356196	5.7548875	5.52356196	5.83289001	3.45943162	6.10852446	5.5849625	4.857981	4.9068906	5.80735492	4.7548875	4.9068906	5.5849625	4.80735492	6.22881869	4.95419631	5.169925	5.169925	4.80735492	5.45943162	5.04439412	5.80735492	4.70043972	4.9068906	5.39231742	4.9068906	5.04439412	5.357552	4.39231742	5.169925	4.857981	5.70043972
hsa-miR-19b-1*	3.80735492	4.169925	5.42626475	3.80735492	3.169925	3.70043972	5.24792751	4.24792751	4.39231742	1	4.5849625	2.5849625	4.24792751	5.78135971	4.45943162	3.80735492	4.169925	5.169925	3.80735492	6.4429435	3.32192809	1	3.45943162	5.04439412	3.70043972	5.39231742	5.28540222	4.80735492	3.45943162	4.80735492	3.80735492	4.80735492	4	2.32192809	3.9068906	1.5849625	2.32192809	0	3.32192809	3.5849625	4.39231742	2.32192809	3.5849625	4	0	3.32192809	3.5849625	3	3.169925	3.32192809	2.80735492	3.5849625	2.5849625	3.80735492	2.5849625	3.169925	3.5849625	1	2.5849625	4.169925	3	3.80735492	2.5849625	3.32192809	3.80735492	3.45943162	4.08746284	3.32192809	3.80735492	3.32192809	5.78135971	3.45943162	4.7548875	2	4.52356196	4.52356196	2	3.5849625	3.169925	4.5849625	2	3.9068906	2.32192809	3.32192809	3.9068906
hsa-miR-19b	6.45943162	7.82017896	8.24792751	6.83289001	6.83289001	6.22881869	8.20457114	8.4918531	8.21431912	6.56985561	8.57364719	6.79441587	7.65821148	9.41785251	8.43879185	7.9068906	8.33539035	8.13442632	8.11374217	7.94251451	7.84549005	6.94251451	7.53138146	8.53138146	7.6794801	9.28308835	7.94836723	9.25029842	7.38370429	8	7.28540222	8.82336724	7.13955135	7.52356196	7.357552	6.169925	6.06608919	5.42626475	6.94251451	7.33985	7.93073734	6.4918531	6.65821148	7.17990909	3.80735492	7.76818432	7.96000193	7.04439412	7.25738784	7.54689446	7.47573343	7.23840474	5.80735492	7.62205182	7.06608919	8.65105169	9.17242751	5.95419631	7.54689446	9.25502857	7.08746284	8.45943162	7.49984589	6.88264305	9.08746284	7.31288296	8.51175265	6.89481776	7.10852446	5.7548875	8.49984589	8.28077077	8.97727992	6.28540222	9.97441459	7.9068906	6.02236781	7.47573343	7.04439412	8.98299357	6.62935662	7.45121111	6.18982456	6.02236781	6.83289001
hsa-miR-20a	7.89481776	8.18982456	8.59991284	8.45121111	7.28540222	6.18982456	8.89481776	8.73470962	8.55074679	7.56224242	8.78135971	8.17990909	8.42626475	9.79603961	8.78790256	8.51963625	8.65463603	8.55458885	8.20457114	9.01959073	8.98013958	7.71424552	9.00562455	8.79116289	8.09275714	9.80735492	8.62935662	9.53332973	7.73470962	8.49585503	7.76818432	9.0768156	7.48381578	8.10852446	7.38370429	7.32192809	6.56985561	6.56985561	8.31741261	8.17990909	8.6183855	7.357552	7.45121111	7.45121111	5.64385619	8.42206477	8.01680829	6.76818432	8.19475685	8.37068741	7.94251451	7.65105169	7.43462823	7.82654849	8.6329952	8.98868469	9.20701432	6.169925	8.23361968	8.80413102	7.95419631	8.74146699	8.10328781	7.98299357	9.14974712	8.19475685	8.68650053	7.25738784	9.25266543	7.91288934	8.86108691	8.08746284	9.08746284	6.84549005	9.01959073	8.14465824	6.95419631	8.13442632	7.14974712	9.03066714	7.61470984	7.45121111	7.37503943	7.33091688	8.25738784
hsa-miR-20a*	4.32192809	4.95419631	4.9068906	4.52356196	4.39231742	3.169925	5.78135971	5.42626475	5.4918531	3.45943162	4.7548875	4.5849625	4.70043972	6.56985561	5.61470984	5.4918531	5.857981	4.95419631	5.20945337	6.357552	5.5849625	3.32192809	5.39231742	5.28540222	4.32192809	5.7548875	6.12928302	6.61470984	4.64385619	5.08746284	4.169925	5.857981	4	4	4.08746284	2.5849625	4.08746284	2.5849625	4.45943162	5.04439412	4.80735492	4.08746284	4.7548875	3.80735492	0	4.64385619	3.5849625	3.70043972	4.80735492	4.169925	5.357552	4.857981	3.45943162	5.08746284	4.857981	5.42626475	4.08746284	1	3.5849625	4.7548875	5.28540222	5.70043972	5.12928302	3.5849625	5.169925	3.32192809	5.80735492	2.80735492	5.39231742	4.95419631	5.857981	3.80735492	5.55458885	3.80735492	5.39231742	5.32192809	3.5849625	4.08746284	4.857981	4.08746284	3.9068906	4.32192809	4.08746284	4.32192809	4.857981
hsa-miR-22*	6.20945337	3.80735492	3.80735492	4.64385619	5.4918531	5.52356196	3.9068906	5.42626475	4.39231742	5.28540222	3.5849625	5.357552	5.28540222	3.32192809	5.45943162	3.9068906	4.52356196	5.08746284	4.5849625	4.169925	5.70043972	4.7548875	5.39231742	5	3.32192809	4.64385619	4.7548875	3.80735492	3.45943162	4.24792751	3.80735492	3.9068906	5	4.857981	4.5849625	5.32192809	4.64385619	5	5.5849625	5.24792751	4.7548875	5.39231742	5.55458885	3.70043972	4.64385619	5.24792751	4.70043972	3.32192809	4.70043972	5.20945337	4.08746284	6.10852446	6.22881869	4.24792751	4.9068906	5.28540222	5.04439412	4.5849625	4.32192809	5.4918531	4.24792751	3.169925	5.5849625	4.52356196	4.169925	4.7548875	4.64385619	6.4918531	4.169925	4.64385619	3.45943162	5.95419631	5.04439412	5.39231742	5.70043972	4.7548875	5.64385619	4.857981	5.12928302	4.70043972	4.08746284	4	5.7548875	5.12928302	5.93073734
